X,Y,Point,index,index_g,Node,Candidate,PT,graph
2407.6206055000002,1204.9527588,c,3,7_3,Node4,8,7,7
2216.8630371,1537.87011719,d,12,7_12,Node2,8,7,7
2403.8640137,1327.8496093725,e,-1,7_-1,Node0,8,7,7
2845.5358887,1421.48291016,a,4,7_4,Node4,9,1,7
3015.228271,1481.7890625,b,5,7_5,Node2,9,1,7
2868.2558594,1511.61218262,c,6,7_6,Node1,9,1,7
2978.21875,1557.20324707,d,7,7_7,Node3,9,1,7
2926.809692275,1493.0218505875,e,-1,7_-1,Node0,9,1,7
2845.5358887,1421.48291016,a,4,7_4,Node2,10,7,7
3015.228271,1481.7890625,b,5,7_5,Node3,10,7,7
2868.2558594,1511.61218262,c,6,7_6,Node1,10,7,7
2722.1472168,1614.4710693,d,9,7_9,Node4,10,7,7
2862.791808975,1507.338806145,e,-1,7_-1,Node0,10,7,7
2845.5358887,1421.48291016,a,4,7_4,Node3,11,7,7
2868.2558594,1511.61218262,b,6,7_6,Node1,11,7,7
2978.21875,1557.20324707,c,7,7_7,Node4,11,7,7
2722.1472168,1614.4710693,d,9,7_9,Node2,11,7,7
2853.539428725,1526.1923522875,e,-1,7_-1,Node0,11,7,7
2845.5358887,1421.48291016,a,4,7_4,Node4,12,7,7
3015.228271,1481.7890625,b,5,7_5,Node1,12,7,7
2978.21875,1557.20324707,c,7,7_7,Node3,12,7,7
2722.1472168,1614.4710693,d,9,7_9,Node2,12,7,7
2890.282531625,1518.7365722575,e,-1,7_-1,Node0,12,7,7
3015.228271,1481.7890625,a,5,7_5,Node1,13,7,7
2868.2558594,1511.61218262,b,6,7_6,Node3,13,7,7
2978.21875,1557.20324707,c,7,7_7,Node4,13,7,7
2722.1472168,1614.4710693,d,9,7_9,Node2,13,7,7
2895.9625243,1541.2688903725,e,-1,7_-1,Node0,13,7,7
2618.5256348000003,1698.286377,a,8,7_8,Node3,14,2,7
2722.1472168,1614.4710693,b,9,7_9,Node4,14,2,7
2696.7460938,1686.1348877,c,10,7_10,Node1,14,2,7
2580.4809569999998,1563.69384766,d,11,7_11,Node2,14,2,7
2654.4749756,1640.646545415,e,-1,7_-1,Node0,14,2,7
2868.2558594,1511.61218262,a,6,7_6,Node4,15,7,7
2618.5256348000003,1698.286377,b,8,7_8,Node3,15,7,7
2722.1472168,1614.4710693,c,9,7_9,Node1,15,7,7
2696.7460938,1686.1348877,d,10,7_10,Node2,15,7,7
2726.4187012,1627.626129155,e,-1,7_-1,Node0,15,7,7
2868.2558594,1511.61218262,a,6,7_6,Node2,16,7,7
2618.5256348000003,1698.286377,b,8,7_8,Node1,16,7,7
2696.7460938,1686.1348877,c,10,7_10,Node3,16,7,7
2580.4809569999998,1563.69384766,d,11,7_11,Node4,16,7,7
2691.00213625,1614.931823745,e,-1,7_-1,Node0,16,7,7
2868.2558594,1511.61218262,a,6,7_6,Node4,17,7,7
2618.5256348000003,1698.286377,b,8,7_8,Node3,17,7,7
2722.1472168,1614.4710693,c,9,7_9,Node1,17,7,7
2580.4809569999998,1563.69384766,d,11,7_11,Node2,17,7,7
2697.352417,1597.015869145,e,-1,7_-1,Node0,17,7,7
2868.2558594,1511.61218262,a,6,7_6,Node4,18,7,7
2722.1472168,1614.4710693,b,9,7_9,Node1,18,7,7
2696.7460938,1686.1348877,c,10,7_10,Node3,18,7,7
2580.4809569999998,1563.69384766,d,11,7_11,Node2,18,7,7
2716.90753175,1593.97799682,e,-1,7_-1,Node0,18,7,7
2470.9125977,1341.9418945,a,0,7_0,Node4,19,7,7
2618.5256348000003,1698.286377,b,8,7_8,Node3,19,7,7
2722.1472168,1614.4710693,c,9,7_9,Node2,19,7,7
2580.4809569999998,1563.69384766,d,11,7_11,Node1,19,7,7
2598.016601575,1554.598297115,e,-1,7_-1,Node0,19,7,7
2470.9125977,1341.9418945,a,0,7_0,Node4,20,7,7
2618.5256348000003,1698.286377,b,8,7_8,Node3,20,7,7
2696.7460938,1686.1348877,c,10,7_10,Node2,20,7,7
2580.4809569999998,1563.69384766,d,11,7_11,Node1,20,7,7
2591.666320825,1572.514251715,e,-1,7_-1,Node0,20,7,7
2470.9125977,1341.9418945,a,0,7_0,Node2,21,7,7
2722.1472168,1614.4710693,b,9,7_9,Node4,21,7,7
2696.7460938,1686.1348877,c,10,7_10,Node1,21,7,7
2580.4809569999998,1563.69384766,d,11,7_11,Node3,21,7,7
2617.571716325,1551.5604247899998,e,-1,7_-1,Node0,21,7,7
2216.8630371,1537.87011719,a,12,7_12,Node1,22,3,7
2083.75805664,1538.00061035,b,13,7_13,Node4,22,3,7
2298.8586426,1592.21008301,c,14,7_14,Node3,22,3,7
2175.2116699,1640.1806641,d,15,7_15,Node2,22,3,7
2193.67285156,1577.0653686625,e,-1,7_-1,Node0,22,3,7
2391.4555664,1294.0013428,a,2,7_2,Node4,23,7,7
2216.8630371,1537.87011719,b,12,7_12,Node1,23,7,7
2298.8586426,1592.21008301,c,14,7_14,Node2,23,7,7
2175.2116699,1640.1806641,d,15,7_15,Node3,23,7,7
2270.597229,1516.0655517750001,e,-1,7_-1,Node0,23,7,7
2391.4555664,1294.0013428,a,2,7_2,Node2,24,7,7
2216.8630371,1537.87011719,b,12,7_12,Node1,24,7,7
2083.75805664,1538.00061035,c,13,7_13,Node4,24,7,7
2298.8586426,1592.21008301,d,14,7_14,Node3,24,7,7
2247.733825685,1490.5205383374998,e,-1,7_-1,Node0,24,7,7
2391.4555664,1294.0013428,a,2,7_2,Node4,25,7,7
2216.8630371,1537.87011719,b,12,7_12,Node1,25,7,7
2083.75805664,1538.00061035,c,13,7_13,Node2,25,7,7
2175.2116699,1640.1806641,d,15,7_15,Node3,25,7,7
2216.8220825099997,1502.51318361,e,-1,7_-1,Node0,25,7,7
2216.8630371,1537.87011719,a,12,7_12,Node2,26,7,7
2083.75805664,1538.00061035,b,13,7_13,Node1,26,7,7
2175.2116699,1640.1806641,c,15,7_15,Node3,26,7,7
1898.1506348,1370.1744385,d,21,7_21,Node4,26,7,7
2093.49584961,1521.5564575350002,e,-1,7_-1,Node0,26,7,7
2216.8630371,1537.87011719,a,12,7_12,Node1,27,7,7
2083.75805664,1538.00061035,b,13,7_13,Node2,27,7,7
2298.8586426,1592.21008301,c,14,7_14,Node3,27,7,7
1898.1506348,1370.1744385,d,21,7_21,Node4,27,7,7
2124.407592785,1509.5638122625,e,-1,7_-1,Node0,27,7,7
2083.75805664,1538.00061035,a,13,7_13,Node1,28,7,7
2298.8586426,1592.21008301,b,14,7_14,Node2,28,7,7
2175.2116699,1640.1806641,c,15,7_15,Node3,28,7,7
1898.1506348,1370.1744385,d,21,7_21,Node4,28,7,7
2113.994750985,1535.14144899,e,-1,7_-1,Node0,28,7,7
2580.4809569999998,1563.69384766,a,11,7_11,Node4,29,7,7
2216.8630371,1537.87011719,b,12,7_12,Node2,29,7,7
2298.8586426,1592.21008301,c,14,7_14,Node1,29,7,7
2175.2116699,1640.1806641,d,15,7_15,Node3,29,7,7
2317.85357665,1583.48867799,e,-1,7_-1,Node0,29,7,7
2580.4809569999998,1563.69384766,a,11,7_11,Node4,30,7,7
2216.8630371,1537.87011719,b,12,7_12,Node1,30,7,7
2083.75805664,1538.00061035,c,13,7_13,Node3,30,7,7
2298.8586426,1592.21008301,d,14,7_14,Node2,30,7,7
2294.990173335,1557.9436645525,e,-1,7_-1,Node0,30,7,7
2580.4809569999998,1563.69384766,a,11,7_11,Node4,31,7,7
2083.75805664,1538.00061035,b,13,7_13,Node2,31,7,7
2298.8586426,1592.21008301,c,14,7_14,Node1,31,7,7
2175.2116699,1640.1806641,d,15,7_15,Node3,31,7,7
2284.5773315349998,1583.52130128,e,-1,7_-1,Node0,31,7,7
2216.8630371,1537.87011719,a,12,7_12,Node1,32,7,7
2298.8586426,1592.21008301,b,14,7_14,Node3,32,7,7
2175.2116699,1640.1806641,c,15,7_15,Node2,32,7,7
1898.1506348,1370.1744385,d,21,7_21,Node4,32,7,7
2147.2709961,1535.1088257000001,e,-1,7_-1,Node0,32,7,7
1416.3986816000001,1564.50732422,a,16,7_16,Node1,33,4,7
1497.5916748,1499.9530029297,b,17,7_17,Node2,33,4,7
1488.2902832,1616.1522217,c,18,7_18,Node3,33,4,7
1319.1907959,1525.04992676,d,19,7_19,Node4,33,4,7
1430.367858875,1551.415618902425,e,-1,7_-1,Node0,33,4,7
1416.3986816000001,1564.50732422,a,16,7_16,Node1,34,7,7
1497.5916748,1499.9530029297,b,17,7_17,Node3,34,7,7
